1,2,3,4,5,6,7,8
1.7326,-36.67785848,0.00992,-36.67785848,0.00992,-36.67785848,0.00992,-36.67785848
3.5346,-33.82429587,0.01008,-33.82429587,0.01008,-33.82429587,0.01008,-33.82429587
0.0666,-33.52059886,0.01024,-33.52059886,0.01024,-33.52059886,0.01024,-33.52059886
0.1378,-38.63228667,0.0104,-38.63228667,0.0104,-38.63228667,0.0104,-38.63228667
1.4667,-46.86464257,0.01056,-46.86464257,0.01056,-46.86464257,0.01056,-46.86464257
-0.8851,-52.88409215,0.01072,-52.88409215,0.01072,-52.88409215,0.01072,-52.88409215
-0.4351,-53.26121,0.01088,-53.26121,0.01088,-53.26121,0.01088,-53.26121
-1.1145,-49.64656271,0.01104,-49.64656271,0.01104,-49.64656271,0.01104,-49.64656271
1.3655,-47.23113449,0.0112,-47.23113449,0.0112,-47.23113449,0.0112,-47.23113449
1.8479,-49.92062002,0.01136,-49.92062002,0.01136,-49.92062002,0.01136,-49.92062002
-0.5298,-56.7035369,0.01152,-56.7035369,0.01152,-56.7035369,0.01152,-56.7035369
2.2715,-62.58482934,0.01168,-62.58482934,0.01168,-62.58482934,0.01168,-62.58482934
1.5407,-63.21827519,0.01184,-63.21827519,0.01184,-63.21827519,0.01184,-63.21827519
0.5878,-58.93723504,0.012,-58.93723504,0.012,-58.93723504,0.012,-58.93723504
-0.3769,-54.44182674,0.01216,-54.44182674,0.01216,-54.44182674,0.01216,-54.44182674
-1.1422,-54.43294781,0.01232,-54.43294781,0.01232,-54.43294781,0.01232,-54.43294781
1.6035,-59.24629514,0.01248,-59.24629514,0.01248,-59.24629514,0.01248,-59.24629514
-0.8485,-64.53953094,0.01264,-64.53953094,0.01264,-64.53953094,0.01264,-64.53953094
-0.4554,-65.32301773,0.0128,-65.32301773,0.0128,-65.32301773,0.0128,-65.32301773
1.9247,-60.59220565,0.01296,-60.59220565,0.01296,-60.59220565,0.01296,-60.59220565
1.1393,-54.26121097,0.01312,-54.26121097,0.01312,-54.26121097,0.01312,-54.26121097
1.4823,-51.53089787,0.01328,-51.53089787,0.01328,-51.53089787,0.01328,-51.53089787
-0.9728,-54.06313538,0.01344,-54.06313538,0.01344,-54.06313538,0.01344,-54.06313538
0.2614,-58.44118187,0.0136,-58.44118187,0.0136,-58.44118187,0.0136,-58.44118187
0.2505,-59.34548194,0.01376,-59.34548194,0.01376,-59.34548194,0.01376,-59.34548194
-3.2838,-54.49662208,0.01392,-54.49662208,0.01392,-54.49662208,0.01392,-54.49662208
-1.5297,-46.77665331,0.01408,-46.77665331,0.01408,-46.77665331,0.01408,-46.77665331
-1.358,-41.55943946,0.01424,-41.55943946,0.01424,-41.55943946,0.01424,-41.55943946
-0.4232,-41.72837133,0.0144,-41.72837133,0.0144,-41.72837133,0.0144,-41.72837133
-0.6811,-45.00671012,0.01456,-45.00671012,0.01456,-45.00671012,0.01456,-45.00671012
-1.4351,-46.07890033,0.01472,-46.07890033,0.01472,-46.07890033,0.01472,-46.07890033
1.9729,-41.53351082,0.01488,-41.53351082,0.01488,-41.53351082,0.01488,-41.53351082
-0.29,-33.03901251,0.01504,-33.03901251,0.01504,-33.03901251,0.01504,-33.03901251
-1.3843,-25.8041387,0.0152,-25.8041387,0.0152,-25.8041387,0.0152,-25.8041387
-0.4189,-23.75211352,0.01536,-23.75211352,0.01536,-23.75211352,0.01536,-23.75211352
-0.8032,-25.88870051,0.01552,-25.88870051,0.01552,-25.88870051,0.01552,-25.88870051
0.5363,-27.23574364,0.01568,-27.23574364,0.01568,-27.23574364,0.01568,-27.23574364
-1.4784,-23.46351287,0.01584,-23.46351287,0.01584,-23.46351287,0.01584,-23.46351287
0.9511,-14.92139323,0.016,-14.92139323,0.016,-14.92139323,0.016,-14.92139323
